Analysis,fluctanal_prop_r1,motiftwo_entro3,avg_R45CO244CO2,avg_R13C12C,avg_d13C12C,biotic,pred
4952,0.408163265306122,0.552896784080831,0.0118621551111111,0.0110593586666667,-10.8085151355556,abiotic,abiotic
4953,0.408163265306122,0.551805818541053,0.0118310998888889,0.011028357,-13.5814207988889,abiotic,abiotic
4954,0.408163265306122,0.552169857673616,0.0118345554444444,0.0110317806666667,-13.2751957955556,abiotic,abiotic
4958,0.408163265306122,0.552169857673616,0.0118596918888889,0.0110578617777778,-10.94239987,abiotic,abiotic
4960,0.408163265306122,0.552169857673616,0.0118310225555556,0.0110282942222222,-13.5870289188889,abiotic,abiotic
4961,0.408163265306122,0.551805818541053,0.011831174,0.0110284841111111,-13.57004513,abiotic,abiotic
4962,0.408163265306122,0.557226262620073,0.0118433733333333,0.0110408027777778,-12.4682382377778,abiotic,abiotic
4963,0.408163265306122,0.557584583292035,0.0118445764444444,0.0110420553333333,-12.3561821511111,abiotic,abiotic
4964,0.408163265306122,0.552169857673616,0.0118306327777778,0.0110279348888889,-13.6191854122222,abiotic,abiotic
4965,0.408163265306122,0.552533512715665,0.0118612943333333,0.0110585554444444,-10.8803509522222,abiotic,abiotic
4966,0.408163265306122,0.552533512715665,0.011851513,0.0110496713333333,-11.67497735,abiotic,biotic
4968,0.408163265306122,0.556508485659345,0.0118393315555556,0.0110367843333333,-12.8276289988889,abiotic,abiotic
4969,0.408163265306122,0.556508485659345,0.011839326,0.0110367687777778,-12.8290384333333,abiotic,abiotic
4970,0.408163265306122,0.556149028572344,0.0118390401111111,0.0110365273333333,-12.8506424911111,abiotic,abiotic
4973,0.408163265306122,0.551441394903152,0.0118350212222222,0.0110322846666667,-13.23010514,abiotic,abiotic
5759,0.346938775510204,0.554788301400031,0.0118321586666667,0.0110316746666667,-13.2846818522222,abiotic,abiotic
5764,0.387755102040816,0.55830009100628,0.011828419,0.011026311,-13.7644252366667,abiotic,abiotic
5766,0.387755102040816,0.55830009100628,0.0118289422222222,0.0110267981111111,-13.7208484333333,abiotic,abiotic
5768,0.346938775510204,0.552896784080831,0.0118299213333333,0.0110285267777778,-13.5662299222222,abiotic,abiotic
5769,0.346938775510204,0.553984300233548,0.0118313392222222,0.0110299096666667,-13.44253789,abiotic,abiotic
5771,0.346938775510204,0.553259672181557,0.0118385506666667,0.0110371522222222,-12.7947493611111,abiotic,abiotic
5774,0.387755102040816,0.55830009100628,0.0118299571111111,0.0110278365555556,-13.6279809222222,abiotic,abiotic
5779,0.387755102040816,0.55830009100628,0.0118301261111111,0.0110279296666667,-13.6196433355556,abiotic,abiotic
5780,0.346938775510204,0.553622177429102,0.0118315905555556,0.0110302536666667,-13.4117764722222,abiotic,abiotic
5782,0.387755102040816,0.558657278840044,0.0118272616666667,0.0110251765555556,-13.8658994277778,abiotic,abiotic
5784,0.346938775510204,0.553259672181557,0.0118292505555556,0.0110274096666667,-13.6661623811111,abiotic,abiotic
5878,0.428571428571429,0.557942525955338,0.0118492602222222,0.0110460956666667,-11.9948002655556,abiotic,abiotic
5880,0.428571428571429,0.561147064557622,0.0118339087777778,0.0110312726666667,-13.3206457833333,abiotic,abiotic
5882,0.428571428571429,0.557226262620073,0.0118385328888889,0.0110355914444444,-12.9343480177778,biotic,biotic
5884,0.428571428571429,0.558657278840044,0.0118324461111111,0.011030348,-13.40334027,biotic,biotic
5887,0.428571428571429,0.559370524431188,0.011821006,0.0110184905555556,-14.4639111677778,biotic,biotic
5889,0.428571428571429,0.559370524431188,0.0118263582222222,0.0110236638888889,-14.0011941722222,biotic,biotic
5892,0.408163265306122,0.556797493475074,0.0118278446666667,0.0110250516666667,-13.8770578611111,biotic,biotic
5893,0.428571428571429,0.555789191880205,0.0118240588888889,0.0110211925555556,-14.2222362744444,biotic,biotic
5894,0.428571428571429,0.560437573504735,0.0118258765555556,0.0110249918888889,-13.88241379,biotic,abiotic
5895,0.428571428571429,0.557942525955338,0.0118403471111111,0.0110373411111111,-12.7778489244444,abiotic,biotic
5897,0.428571428571429,0.557584583292035,0.0118361825555556,0.0110340382222222,-13.0732741055556,biotic,biotic
5898,0.428571428571429,0.556867563542026,0.0118491672222222,0.0110460641111111,-11.9976247455556,abiotic,abiotic
5900,0.428571428571429,0.557942525955338,0.0118346803333333,0.0110316888888889,-13.28340894,abiotic,biotic
5901,0.428571428571429,0.557226262620073,0.0118296647777778,0.0110266466666667,-13.73440853,biotic,biotic
5902,0.428571428571429,0.557584583292035,0.0118493223333333,0.0110463638888889,-11.9708312855556,abiotic,abiotic
5904,0.428571428571429,0.560792506272116,0.0118312215555556,0.011028505,-13.5681928077778,abiotic,abiotic
5905,0.428571428571429,0.557942525955338,0.0118386235555556,0.0110377412222222,-12.7420485355556,abiotic,abiotic
5907,0.428571428571429,0.559370524431188,0.011824217,0.0110233631111111,-14.0280773622222,biotic,biotic
5908,0.428571428571429,0.556867563542026,0.0118328245555556,0.01102975,-13.4568356688889,biotic,biotic
5909,0.428571428571429,0.558657278840044,0.0118261776666667,0.0110235901111111,-14.0077872922222,biotic,biotic
5911,0.428571428571429,0.555428975180965,0.0118219484444444,0.0110191473333333,-14.4051679477778,biotic,biotic
5912,0.428571428571429,0.557584583292035,0.011840349,0.0110373312222222,-12.7787199188889,biotic,abiotic
5914,0.428571428571429,0.55830009100628,0.0118354463333333,0.0110323815555556,-13.2214460744444,abiotic,abiotic
5917,0.428571428571429,0.558657278840044,0.0118288043333333,0.0110279446666667,-13.6182948933333,biotic,biotic
5918,0.428571428571429,0.555789191880205,0.0118223252222222,0.0110194136666667,-14.3813446355556,biotic,biotic
5919,0.428571428571429,0.558657278840044,0.0118397393333333,0.0110367701111111,-12.82891191,abiotic,abiotic
5920,0.428571428571429,0.557584583292035,0.0118348656666667,0.0110317587777778,-13.2771588033333,biotic,abiotic
5924,0.428571428571429,0.557584583292035,0.0118264157777778,0.011023677,-14.0000233044444,abiotic,biotic
5925,0.428571428571429,0.560792506272116,0.0118265084444444,0.0110239915555556,-13.9718803511111,abiotic,biotic
5926,0.428571428571429,0.557942525955338,0.0118206414444444,0.0110179714444444,-14.51034268,biotic,biotic
5927,0.428571428571429,0.559726582973377,0.0118402074444444,0.0110392864444444,-12.6038483766667,abiotic,abiotic
5928,0.428571428571429,0.560082265868008,0.0118239117777778,0.0110212448888889,-14.2175604811111,abiotic,biotic
5929,0.428571428571429,0.557584583292035,0.0118286313333333,0.011025593,-13.8286447677778,biotic,biotic
5930,0.428571428571429,0.558657278840044,0.011840433,0.0110373997777778,-12.77259119,abiotic,abiotic
5931,0.428571428571429,0.560437573504735,0.0118323913333333,0.0110296673333333,-13.4642392711111,abiotic,abiotic
5934,0.428571428571429,0.560082265868008,0.0118375825555556,0.0110367056666667,-12.8346836711111,abiotic,abiotic
5935,0.428571428571429,0.55830009100628,0.0118363892222222,0.0110333335555556,-13.13631343,biotic,abiotic
5938,0.428571428571429,0.557942525955338,0.0118334278888889,0.0110303952222222,-13.3991076433333,biotic,biotic
5939,0.428571428571429,0.55830009100628,0.0118410731111111,0.0110381135555556,-12.70876074,biotic,abiotic
5941,0.428571428571429,0.559370524431188,0.0118403642222222,0.0110374904444444,-12.7644943266667,abiotic,abiotic
5944,0.428571428571429,0.556867563542026,0.0118390018888889,0.0110359332222222,-12.9037756011111,biotic,biotic
5945,0.428571428571429,0.558657278840044,0.0118401782222222,0.0110370313333333,-12.8055664011111,abiotic,abiotic
5946,0.428571428571429,0.559370524431188,0.011837375,0.0110352533333333,-12.9645901588889,abiotic,abiotic
5948,0.428571428571429,0.557942525955338,0.0118401274444444,0.0110392114444444,-12.61056295,biotic,abiotic
5949,0.428571428571429,0.557942525955338,0.0118441768888889,0.0110410855555556,-12.4429242288889,abiotic,abiotic
5950,0.428571428571429,0.557942525955338,0.0118451973333333,0.0110442658888889,-12.1584579244444,abiotic,abiotic
5951,0.428571428571429,0.557942525955338,0.0118357643333333,0.01103268,-13.1947528377778,abiotic,abiotic
5952,0.428571428571429,0.560437573504735,0.0118332493333333,0.0110304358888889,-13.3954761544444,abiotic,abiotic
5955,0.428571428571429,0.557942525955338,0.0118259487777778,0.0110232265555556,-14.0403141855556,biotic,biotic
5957,0.428571428571429,0.559014089850694,0.0118384536666667,0.011037596,-12.7550597277778,abiotic,abiotic
5958,0.428571428571429,0.56150124874764,0.0118305592222222,0.0110297131111111,-13.4601307333333,abiotic,abiotic
5959,0.428571428571429,0.557584583292035,0.0118320003333333,0.0110289131111111,-13.5316699188889,biotic,biotic
5960,0.428571428571429,0.556867563542026,0.011841466,0.0110383106666667,-12.69113766,biotic,biotic
