Analysis,diff2_acf1,avg_rR45CO244CO2,avg_R45CO244CO2,biotic,pred
4925,0.799973592127928,1.17931653022222,0.0118427181111111,abiotic,abiotic
4929,0.793663650563155,1.17936389255556,0.0118392631111111,abiotic,abiotic
4932,0.794589827562086,1.17966622066667,0.0118390073333333,abiotic,abiotic
4933,0.731087453785856,1.18102655433333,0.0118519475555556,abiotic,abiotic
4934,0.732056761860284,1.18121104733333,0.0118528691111111,abiotic,abiotic
4935,0.714103169511131,1.17885846977778,0.0118344165555556,abiotic,abiotic
4936,0.713640316602769,1.17857367311111,0.0118304754444444,abiotic,abiotic
4937,0.729977800954052,1.18100136622222,0.0118542143333333,abiotic,abiotic
4940,0.801223335441453,1.18018598055556,0.0118445997777778,abiotic,abiotic
4941,0.731413313122468,1.18111039122222,0.0118537556666667,abiotic,abiotic
4942,0.731896970229732,1.18192361044444,0.0118616865555556,abiotic,abiotic
4946,0.712993259796573,1.17888156644444,0.011830233,abiotic,abiotic
4947,0.797016185541713,1.17978800777778,0.0118388663333333,abiotic,abiotic
4949,0.7228893338931,1.18114938433333,0.0118587756666667,abiotic,abiotic
4950,0.730580854212807,1.18072147777778,0.0118541057777778,abiotic,biotic
4951,0.73054122858317,1.18112810966667,0.0118516975555556,abiotic,abiotic
4954,0.715023234480512,1.17997012911111,0.0118345554444444,abiotic,abiotic
4958,0.720937265058513,1.18197183055556,0.0118596918888889,abiotic,abiotic
4959,0.79963923965018,1.17990779555556,0.0118450831111111,abiotic,abiotic
4960,0.713406198239192,1.178491189,0.0118310225555556,abiotic,abiotic
4961,0.712794635835803,1.17916153688889,0.011831174,abiotic,abiotic
4962,0.799141145346459,1.17971238122222,0.0118433733333333,abiotic,abiotic
4965,0.730662294816579,1.18153236788889,0.0118612943333333,abiotic,abiotic
4966,0.729537944851621,1.18052460188889,0.011851513,abiotic,abiotic
4968,0.796287538835899,1.17934500588889,0.0118393315555556,abiotic,abiotic
4970,0.793669659881973,1.17935355411111,0.0118390401111111,abiotic,abiotic
4973,0.710437171369847,1.17953166711111,0.0118350212222222,abiotic,abiotic
5758,0.793004182638113,1.17979011844444,0.011830276,abiotic,abiotic
5759,0.792792763456758,1.18003179366667,0.0118321586666667,abiotic,abiotic
5763,0.805384168298495,1.17939022266667,0.011826921,abiotic,abiotic
5764,0.810040535708663,1.179479072,0.011828419,abiotic,abiotic
5766,0.805399313209766,1.17863767288889,0.0118289422222222,abiotic,abiotic
5768,0.791871622473288,1.17887428577778,0.0118299213333333,abiotic,abiotic
5769,0.79805803603681,1.17903872988889,0.0118313392222222,abiotic,abiotic
5771,0.788107208107319,1.179824929,0.0118385506666667,abiotic,abiotic
5776,0.810029457740335,1.17889752122222,0.0118294297777778,abiotic,abiotic
5779,0.813560221393764,1.17888282766667,0.0118301261111111,abiotic,abiotic
5780,0.797052010507505,1.17905532722222,0.0118315905555556,abiotic,abiotic
5782,0.817587746062783,1.17865616488889,0.0118272616666667,abiotic,abiotic
5878,0.746694931251676,1.18081013455556,0.0118492602222222,abiotic,biotic
5879,0.744905300083235,1.18069181977778,0.011846903,abiotic,biotic
5880,0.799789209002866,1.17947767911111,0.0118339087777778,abiotic,abiotic
5881,0.749471761696323,1.17992100933333,0.0118380838888889,biotic,biotic
5882,0.744816136886723,1.17998541244444,0.0118385328888889,biotic,biotic
5884,0.776625971735554,1.17937091955556,0.0118324461111111,biotic,abiotic
5885,0.766263208395726,1.17871546877778,0.011825028,biotic,biotic
5886,0.796358331438,1.17951025944444,0.0118331802222222,abiotic,abiotic
5887,0.777548236389526,1.17826794311111,0.011821006,biotic,biotic
5889,0.769181737538099,1.17892002788889,0.0118263582222222,biotic,biotic
5892,0.763405325684389,1.178478761,0.0118278446666667,biotic,biotic
5893,0.720621420099923,1.17822884411111,0.0118240588888889,biotic,biotic
5894,0.792016694027251,1.17848470933333,0.0118258765555556,biotic,abiotic
5895,0.756016746057503,1.17998289666667,0.0118403471111111,abiotic,abiotic
5896,0.749613266163356,1.18094096522222,0.011849075,abiotic,abiotic
5897,0.753172581854289,1.17967297022222,0.0118361825555556,biotic,biotic
5900,0.756789938288232,1.179643959,0.0118346803333333,abiotic,biotic
5901,0.742662874056824,1.17916892077778,0.0118296647777778,biotic,biotic
5902,0.747788334888189,1.18115706977778,0.0118493223333333,abiotic,abiotic
5903,0.799556021816414,1.17937691133333,0.0118309318888889,abiotic,abiotic
5904,0.796787539345561,1.179370437,0.0118312215555556,abiotic,abiotic
5905,0.774454584748253,1.18008290933333,0.0118386235555556,abiotic,abiotic
5909,0.769905398846125,1.17935930588889,0.0118261776666667,biotic,biotic
5911,0.708788278814707,1.17899385455556,0.0118219484444444,biotic,abiotic
5912,0.741446946544499,1.18086873344444,0.011840349,biotic,abiotic
5914,0.758397871171577,1.18032412822222,0.0118354463333333,abiotic,abiotic
5916,0.75044686927771,1.18056287088889,0.011837431,biotic,abiotic
5917,0.74731519557951,1.17976300977778,0.0118288043333333,biotic,biotic
5918,0.711970783905236,1.17899365022222,0.0118223252222222,biotic,abiotic
5919,0.763409948361346,1.18084218388889,0.0118397393333333,abiotic,abiotic
5924,0.738612521140769,1.17895596966667,0.0118264157777778,abiotic,biotic
5925,0.804743591188502,1.17907479344444,0.0118265084444444,abiotic,abiotic
5926,0.753264233707783,1.17853372488889,0.0118206414444444,biotic,biotic
5928,0.786292460298526,1.17893930455556,0.0118239117777778,abiotic,biotic
5929,0.741057416315839,1.17941363433333,0.0118286313333333,biotic,biotic
5930,0.750145993951696,1.18067454588889,0.011840433,abiotic,biotic
5931,0.795522640976985,1.179839764,0.0118323913333333,abiotic,abiotic
5934,0.77155120770564,1.18035218122222,0.0118375825555556,abiotic,abiotic
5935,0.73404807353447,1.18023898088889,0.0118363892222222,biotic,biotic
5937,0.69345963325501,1.17862188333333,0.0118217704444444,abiotic,biotic
5938,0.735834171605572,1.17987443844444,0.0118334278888889,biotic,biotic
5939,0.740521842916884,1.18066819922222,0.0118410731111111,biotic,biotic
5941,0.761500572790754,1.18054389433333,0.0118403642222222,abiotic,abiotic
5944,0.73189896057761,1.180432054,0.0118390018888889,biotic,biotic
5945,0.751130190856767,1.18053812766667,0.0118401782222222,abiotic,biotic
5946,0.770268929890127,1.18025185288889,0.011837375,abiotic,abiotic
5947,0.759470034414202,1.180389595,0.0118386061111111,abiotic,abiotic
5948,0.74528606569978,1.18052301011111,0.0118401274444444,biotic,biotic
5949,0.74162888454968,1.18093730155556,0.0118441768888889,abiotic,abiotic
5950,0.751080661297401,1.18104906744444,0.0118451973333333,abiotic,abiotic
5952,0.793326105990247,1.17983425777778,0.0118332493333333,abiotic,abiotic
5953,0.80907418534399,1.17950990733333,0.0118304444444444,abiotic,abiotic
5954,0.768591581214881,1.17880261522222,0.0118236438888889,biotic,biotic
5955,0.762924482959288,1.17907544488889,0.0118259487777778,biotic,biotic
5956,0.747449822209012,1.18016189577778,0.0118367037777778,abiotic,biotic
5957,0.768869870233578,1.18039165144444,0.0118384536666667,abiotic,abiotic
5959,0.737797069003226,1.17971639644444,0.0118320003333333,biotic,biotic
5960,0.73633672602508,1.18074403566667,0.011841466,biotic,biotic
